Distance(mi),Amenity,No_Exit,Station,Sunrise_Sunset,Season,Snow_Ice,Low_Vis_Weather,Rainy,Qty_Slowing_Elements
0.0,0,0,0,1,Winter,0,0,0,0
7.517,0,0,0,1,Summer,0,1,0,0
0.657,0,0,0,0,Fall,0,0,0,0
0.293,0,0,0,0,Summer,0,0,0,0
0.241,0,0,0,0,Winter,0,0,0,0
0.052,0,0,0,0,Winter,0,0,0,0
0.173,0,0,0,1,Spring,0,0,0,0
0.247,0,0,0,0,Winter,0,0,1,0
1.007,0,0,0,1,Fall,0,0,0,0
0.116,0,0,0,1,Spring,0,0,0,1
0.01,0,0,0,1,Fall,0,0,0,0
1.587,0,0,0,1,Summer,0,0,0,0
0.027,0,0,0,1,Winter,0,0,0,0
4.626,0,0,0,0,Winter,1,0,0,0
0.155,0,0,0,1,Winter,0,1,0,0
0.0,0,0,0,1,Fall,0,0,0,1
0.969,0,0,0,1,Winter,0,1,0,0
0.13,0,0,0,1,Summer,0,0,0,1
2.254,0,0,0,0,Winter,0,0,0,0
2.807,0,0,0,0,Spring,0,1,0,0
1.192,0,0,0,0,Summer,0,0,0,1
0.244,0,0,0,1,Fall,0,0,1,0
0.24,0,0,0,1,Winter,0,0,0,0
1.746,0,0,0,1,Summer,0,0,0,0
1.0759999999999998,0,0,0,0,Winter,0,0,0,0
0.145,0,0,0,1,Summer,0,0,0,0
0.239,0,0,0,1,Summer,0,0,0,0
0.119,0,0,0,1,Fall,0,1,0,1
0.297,0,0,0,1,Summer,0,0,0,0
0.63,0,0,0,1,Spring,0,0,1,0
4.9830000000000005,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,0
2.026,0,0,0,0,Summer,0,0,0,1
0.269,0,0,0,0,Fall,0,0,0,0
0.0,0,0,0,0,Spring,0,1,0,1
1.219,0,0,0,1,Summer,0,1,0,0
0.191,0,0,0,1,Spring,0,0,0,1
0.0,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,0,Winter,0,0,0,1
1.455,0,0,0,0,Fall,0,0,0,0
2.417,0,0,0,0,Spring,0,0,0,0
0.142,0,0,0,0,Winter,0,0,0,0
0.01,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
3.104,0,0,0,0,Winter,0,1,0,0
1.192,0,0,0,1,Summer,0,0,0,0
2.515,0,0,0,0,Spring,0,0,1,0
0.318,0,0,0,1,Summer,0,0,0,0
0.01,0,0,0,1,Spring,0,1,0,0
0.356,0,0,0,1,Summer,0,1,0,1
0.8079999999999999,0,0,0,1,Summer,0,0,0,0
1.007,0,0,0,0,Fall,0,0,0,0
0.705,0,0,0,1,Fall,0,0,0,0
0.125,0,0,0,0,Spring,0,1,0,0
1.11,0,0,0,1,Fall,0,0,1,0
0.0,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Spring,0,1,1,1
0.0,0,0,1,1,Summer,0,1,0,2
0.0,0,0,0,1,Summer,0,0,1,0
0.0,0,0,0,1,Summer,0,0,0,1
0.64,0,0,1,1,Winter,0,1,0,1
0.01,0,0,0,0,Fall,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,0
0.266,0,0,0,1,Fall,0,0,0,1
0.0,0,0,0,1,Winter,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,2
0.0,0,0,0,1,Spring,0,0,0,1
0.0,0,0,0,1,Winter,0,0,0,0
0.1689999999999999,0,0,0,1,Winter,0,0,0,0
2.589,0,0,0,0,Spring,0,0,0,0
0.614,0,0,0,1,Winter,0,1,0,0
4.309,0,0,0,1,Fall,0,0,0,0
1.039,0,0,0,1,Summer,0,0,0,0
0.157,0,0,0,0,Winter,0,0,0,1
0.01,0,0,0,1,Fall,0,0,0,0
0.0,0,0,0,0,Fall,0,1,0,0
0.472,0,0,0,0,Spring,0,1,0,0
0.0,0,0,0,0,Winter,0,1,0,0
0.742,0,0,0,1,Spring,0,1,0,0
0.0,0,0,0,1,Summer,0,0,0,1
0.113,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Spring,0,0,0,1
0.532,0,0,0,1,Fall,0,0,0,0
0.371,0,0,0,1,Fall,0,0,0,0
0.345,0,0,0,1,Summer,0,1,0,0
0.42,0,0,1,1,Fall,0,0,0,0
0.614,0,0,0,0,Spring,0,0,0,0
0.0,0,0,0,1,Summer,0,0,0,1
2.124,0,0,0,1,Winter,0,0,0,0
0.478,0,0,0,0,Fall,0,0,0,1
1.699,0,0,0,0,Winter,0,0,0,0
0.06,0,0,0,1,Fall,0,0,1,0
0.426,0,0,0,1,Spring,0,0,0,1
0.0,0,0,0,1,Winter,0,0,0,0
0.01,0,0,0,0,Winter,0,0,0,0
0.0099999997764825,0,0,0,1,Spring,0,1,0,0
0.224,0,0,0,0,Winter,0,0,0,1
2.341,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,1,Fall,0,0,0,0
0.477,0,0,0,0,Summer,0,0,0,0
1.019,0,0,0,0,Winter,0,0,0,0
0.033,0,0,0,1,Summer,0,0,0,0
0.205,0,0,0,1,Winter,1,0,0,1
0.104,0,0,0,1,Fall,0,0,0,1
0.176,0,0,0,0,Winter,0,1,0,0
0.517,0,0,0,0,Winter,0,0,0,0
0.0,0,0,0,0,Spring,0,0,0,0
0.0,0,0,0,1,Spring,0,0,1,0
