Street,Temperature(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
large_local,92.0,52.0,29.56,10.0,SW,Fair,False,False,False,False,False,False,False,False,Day
Highway,69.1,63.0,30.04,10.0,Calm,Clear,False,True,False,False,False,False,False,False,Night
Interstate,42.8,81.0,30.37,5.0,Calm,Scattered Clouds,False,False,False,False,False,False,False,False,Day
local,88.0,37.0,29.78,10.0,SW,Mostly Cloudy,False,True,False,False,False,False,False,True,Day
Highway,55.0,56.0,29.48,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Night
local,42.8,100.0,29.88,2.5,NW,Overcast,False,False,False,False,False,False,False,False,Night
large_local,33.1,46.0,29.62,10.0,S,Overcast,False,False,False,False,False,False,False,False,Night
Highway,39.0,67.0,30.38,10.0,W,Fair,False,False,False,False,False,False,False,False,Night
large_local,32.0,93.0,29.59,2.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
large_local,69.1,100.0,30.41,5.0,SE,Overcast,False,True,False,False,False,False,False,True,Day
large_local,59.0,37.0,29.91,10.0,NW,Fair,False,True,False,False,True,False,False,True,Night
Interstate,79.0,54.0,30.19,10.0,SE,Fair,False,False,False,False,False,False,False,False,Day
local,42.0,37.0,29.18,10.0,S,Fair,False,False,False,False,False,False,False,False,Day
large_local,12.0,87.0,30.42,10.0,SW,Clear,False,False,False,False,False,False,False,False,Day
local,41.0,61.0,29.75,7.0,W,Snow,False,False,False,False,False,False,False,False,Night
local,59.0,100.0,30.19,1.0,SE,Fog,False,False,False,False,False,False,False,False,Night
Highway,30.9,89.0,30.45,0.8,NE,Snow,False,False,False,False,False,False,False,False,Day
Highway,57.2,94.0,29.74,10.0,SW,Overcast,False,False,False,False,False,False,False,False,Night
local,57.0,55.0,30.35,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Day
Interstate,87.8,79.0,29.97,10.0,S,Clear,False,False,False,False,False,False,False,False,Night
local,19.0,65.0,29.54,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
local,61.0,83.0,29.69,10.0,SW,Cloudy,False,False,False,False,False,False,False,False,Day
local,41.0,26.0,30.01,10.0,W,Clear,False,False,False,False,False,False,False,False,Day
local,78.8,69.0,30.04,10.0,SW,Scattered Clouds,False,False,False,False,False,False,False,False,Day
local,41.0,81.0,29.94,9.0,S,Overcast,False,True,False,False,False,False,False,True,Night
local,44.6,81.0,30.3,10.0,Calm,Mostly Cloudy,False,False,False,False,False,True,False,False,Night
Highway,48.2,58.0,30.1,10.0,Calm,Overcast,False,False,False,False,False,False,False,False,Day
local,57.9,93.0,29.89,10.0,E,Drizzle,False,False,False,False,False,True,False,False,Night
Highway,38.0,53.0,30.27,10.0,SE,Fair,False,False,False,False,False,False,False,False,Day
Interstate,54.0,31.0,30.04,10.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
local,81.0,48.0,29.93,10.0,SW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
local,38.0,74.0,29.99,10.0,NW,Cloudy,False,False,False,False,False,False,False,False,Night
Highway,55.0,100.0,29.66,4.0,Calm,Fair,False,False,False,False,False,False,False,False,Night
Beltway,51.0,36.0,30.07,10.0,NW,Partly Cloudy,False,False,False,False,False,False,False,False,Day
large_local,71.6,100.0,30.24,7.0,Calm,Clear,False,False,False,False,False,False,False,False,Night
local,73.4,94.0,29.81,7.0,Calm,Clear,False,False,False,False,False,False,False,False,Day
Interstate,77.0,64.0,29.53,10.0,NW,Fair,False,False,False,False,False,False,False,False,Day
Beltway,51.0,83.0,29.71,10.0,N,Cloudy,False,False,True,False,False,False,False,False,Day
Beltway,38.0,88.0,29.62,10.0,S,Mostly Cloudy,False,False,False,False,False,False,False,False,Night
large_local,53.0,97.0,29.13,7.0,Calm,Cloudy,False,False,False,False,False,False,False,False,Night
large_local,81.5,52.0,30.04,10.0,NW,Clear,False,False,True,False,False,False,False,False,Day
Interstate,86.0,58.0,30.0,10.0,NW,Clear,False,False,False,False,False,False,False,False,Day
Highway,48.2,34.0,30.04,10.0,W,Scattered Clouds,False,False,False,False,False,False,False,False,Day
