Class,Distance(mi),Street,Temperature(F),'Humidity(\%)',Pressure(in),Visibility(mi),Wind_Direction,Weather_Condition,Amenity,Crossing,Junction,Railway,Station,Stop,Traffic_Calming,Traffic_Signal,Sunrise_Sunset
1,'\'(0.5895-inf)\'',local,'\'(-inf-35.9]\'','\'(84.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NW,Snow,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',large_local,'\'(-inf-35.9]\'','\'(84.5-93.5]\'','\'(29.815-30.055]\'','\'(-inf-9.5]\'',NE,Snow,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Highway,'\'(-inf-35.9]\'','\'(46.5-58.5]\'','\'(30.055-inf)\'','\'(9.5-inf)\'',NW,Windy,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(35.9-46.2]\'','\'(46.5-58.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',N,'Partly Cloudy',False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',large_local,'\'(-inf-35.9]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Fog,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Highway,'\'(-inf-35.9]\'','\'(70.5-84.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',Calm,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Highway,'\'(35.9-46.2]\'','\'(58.5-70.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',SE,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Interstate,'\'(35.9-46.2]\'','\'(-inf-46.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',W,'Mostly Cloudy',False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Beltway,'\'(-inf-35.9]\'','\'(84.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Highway,'\'(-inf-35.9]\'','\'(58.5-70.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',Variable,Fair,False,False,False,False,False,False,False,False,Night
1,'\'(0.5895-inf)\'',Beltway,'\'(35.9-46.2]\'','\'(46.5-58.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',NW,Fair,False,False,True,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Beltway,'\'(35.9-46.2]\'','\'(46.5-58.5]\'','\'(30.055-inf)\'','\'(9.5-inf)\'',N,Cloudy,False,False,True,False,False,False,False,False,Night
1,'\'(-inf-0.1775]\'',large_local,'\'(35.9-46.2]\'','\'(58.5-70.5]\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',NW,Cloudy,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(-inf-35.9]\'','\'(70.5-84.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',Calm,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',local,'\'(-inf-35.9]\'','\'(93.5-inf)\'','\'(-inf-29.815]\'','\'(9.5-inf)\'',NW,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',large_local,'\'(-inf-35.9]\'','\'(70.5-84.5]\'','\'(29.815-30.055]\'','\'(9.5-inf)\'',NW,Fair,False,False,False,False,False,False,False,False,Day
1,'\'(0.5895-inf)\'',Interstate,'\'(-inf-35.9]\'','\'(84.5-93.5]\'','\'(-inf-29.815]\'','\'(-inf-9.5]\'',NE,Snow,False,False,False,False,False,False,False,False,Day
